"item","d"
"vocab_word_latch",1.2455896512663
"vocab_word_paleontologist",0.149580008386318
"vocab_word_intersection",-0.22930511867168
"vocab_word_beret",-0.64525053721852
"vocab_word_swordfish",0.600324874355434
"vocab_word_thermos",0.38476552518686
"vocab_word_coaster",-0.9180852248941
"vocab_word_sorbet",-0.799090438838213
"vocab_word_pitcher",-0.52793705856256
"vocab_word_cheese",-0.0533813803690533
"vocab_word_corset",-1.35309087292468
"vocab_word_turbine",0.259771184268891
"vocab_word_cormorant",-0.520435730366204
"vocab_word_concentric",-0.708300351933977
"vocab_word_ecstatic",-1.96039796068792
"vocab_word_resuscitation",-1.76114695118755
"vocab_word_precarious",-1.79861209399025
"vocab_word_calendar",2.58541552597501
"vocab_word_panda",3.26186801777654
"vocab_word_clothespin",1.4276927875828
"vocab_word_peeking",1.82711886803842
"vocab_word_timid",-2.43202960188769
"vocab_word_mammalogy",-3.5749101562222
"vocab_word_habit",-4.11868098908884
"vocab_word_couturier",-4.19449810753969
"vocab_word_percussion",-1.24101767734155
"vocab_word_stump",1.45749056056138
"vocab_word_cornbread",1.12796162262116
"vocab_word_bandage",3.34042679560467
"vocab_word_arcade",-1.92046191256399
"vocab_word_chat",1.1733772811678
"vocab_word_hamster",2.80065967506723
"vocab_word_envelope",1.91620575960992
"vocab_word_treasure",2.20896395468273
"vocab_word_dentist",1.8154795562492
"vocab_word_furry",1.70572976201562
"vocab_word_fruitcake",2.42760719848604
"vocab_word_hopscotch",3.34685281882052
"vocab_word_snail",2.96062585326014
"vocab_word_sprinkler",1.45735803341485
"vocab_word_foam",2.16666536004665
"vocab_word_omelet",1.34264876755243
"vocab_word_diamond",1.12043358876113
"vocab_word_dumpling",0.895413661474868
"vocab_word_seagull",1.6567686759585
"vocab_word_elbow",2.83346590390528
"vocab_word_cork",0.987672102620112
"vocab_word_sloth",2.40886782291875
"vocab_word_delivering",0.93549748525009
"vocab_word_roof",2.52832186259675
"vocab_word_sandbag",2.26818111039539
"vocab_word_gourmet",-0.460995284680737
"vocab_word_fetch",0.775375527761993
"vocab_word_ski",2.45182624442659
"vocab_word_telescope",2.6860580698383
"vocab_word_map",2.74867141366461
"vocab_word_dredging",-3.01527201857289
"vocab_word_aversion",-2.55343844936558
"vocab_word_triad",-0.687063948585005
"vocab_word_ball",4.04242375095553
"vocab_word_lollipop",4.15880775531895
"vocab_word_shower",3.60428184647074
"vocab_word_bear",4.72962112762292
"vocab_word_fan",2.47581598443365
"vocab_word_sunflower",3.50514752385008
"vocab_word_footbath",2.36637511559823
"vocab_word_marshmallow",2.33455791430416
"vocab_word_pie",2.29594229489517
"vocab_word_ship",1.41980049458419
"vocab_word_teabag",1.18109687058277
"vocab_word_turkey",2.70404034991335
"vocab_word_typewriter",1.58238342759672
"vocab_word_waterwheel",0.517887326300251
"vocab_word_farm",2.32148495427449
"vocab_word_juggling",2.83606314049811
"vocab_word_ruler",0.687549568877825
"vocab_word_knight",1.58039933770403
"vocab_word_applaud",1.22336922522087
"vocab_word_confectionery",-2.60278346057877
"vocab_word_aesthete",-2.58906288928101
"vocab_word_colony",-2.22424866436207
"vocab_word_turnstile",-3.27628886306834
